Aaron Rodgers, GB QBBreaking News~~TSD~~~
Andrew Luck, Ind QB~~DHE~~~
Ben Roethlisberger, Pit QBRecent News~~MIZE~~~
DeMarco Murray, Phi RB~~FNG~~~
Peyton Manning, Den QBRecent News~~MIZE~~~
Drew Brees, NO QB~~BIG~~~
Antonio Brown, Pit WRRecent News~~TSD~~~
Le'Veon Bell, Pit RB  SSPDRecent News~~TSD~~~
Demaryius Thomas, Den WR~~(|)~~~
Matt Ryan, Atl QB~~NM~~~
Tom Brady, NE QB  SSPDBreaking Video~~BIG~~~
Russell Wilson, Sea QB~~(|)~~~
Eli Manning, NYG QB~~DHE~~~
Matt Forte, Chi RBRecent News~~JW~~~
Marshawn Lynch, Sea RB~~TH~~~
Odell Beckham Jr., NYG WR  P~~KKI~~~
Tony Romo, Dal QB~~NM~~~
Julio Jones, Atl WR~~FNG~~~
Dez Bryant, Dal WR  PBreaking News~~TMMA~~~
Ryan Tannehill, Mia QB~~Strk~~~
Jay Cutler, Chi QBRecent News~~TMMA~~~
Eddie Lacy, GB RB~~(|)~~~
T.Y. Hilton, Ind WR~~FNG~~~
Matthew Stafford, Det QBRecent News~~FNG~~~
Justin Forsett, Bal RB~~TH~~~
Golden Tate, Det WR~~MIZE~~~
Jeremy Hill, Cin RB~~KKI~~~
DeAndre Hopkins, Hou WR~~Strk~~~
Mike Evans, TB WR  QBreaking Video~~TMMA~~~
Rob Gronkowski, NE TEBreaking News~~TSD~~~
Calvin Johnson, Det WRBreaking News~~KKI~~~
Jamaal Charles, KC RBRecent News~~NM~~~
Cam Newton, Car QB~~TH~~~
LeSean McCoy, Buf RB  QRecent News~~KKI~~~
A.J. Green, Cin WRRecent News~~DHE~~~
Alshon Jeffery, Chi WR  QBreaking News~~DHE~~~
Mark Ingram, NO RB~~Strk~~~
C.J. Anderson, Den RB~~NM~~~
Frank Gore, Ind RB~~BIG~~~
Greg Olsen, Car TE~~JW~~~
Alfred Morris, Wsh RB~~MIZE~~~
Jordan Matthews, Phi WR~~BIG~~~
Jimmy Graham, Sea TE~~TH~~~
Vincent Jackson, TB WRRecent News~~JW~~~
Carson Palmer, Ari QB  PRecent News~~JW~~~
Jerrell Freeman, Ind LB~~Strk~~~
Carlos Hyde, SF RBRecent News~~TMMA~~~
Adrian Peterson, Min RB  P~~(|)~~~
